Product ID*;Product Reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN-13;UPC;MPN;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Low stock level;Receive a low stock alert by email;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URLs (x,y,z...);Image alt texts (x,y,z...);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
1;;Color:color:0, Disk space:select:1;Pink:0, 16GB:1;RF-Nano-Pink-16GB;RP-Nano-Pink-16GB;80446402;8,5009E+11;;100;40;0;10;1;;;0;0;11/01/2014;11;http://youdomain.com/img.jpg;First alt text;0;0;0;
1;;Color:color:0, Disk space:select:1;Pink:0, 8GB:1;RF-Nano-Pink-8GB;RP-Nano-Pink-8GB;80446403;6,81363E+11;;80;0;0;10;1;0;;0;0;12/01/2014;12;http://youdomain.com/img.jpg;First alt text;0;0;0;
1;;Color:color:0, Disk space:select:1;Green:0, 16GB:1;RF-Nano-Green-16GB;RP-Nano-Green-16GB;80446404;3,43278E+11;;100;40;0;10;1;1;;0;0;13/01/2014;13;http://youdomain.com/img.jpg;First alt text;0;0;0;
1;;Color:color:0, Disk space:select:1;Green:0, 8GB:1;RF-Nano-Green-8GB;RP-Nano-Green-8GB;80446405;9,10409E+11;;80;0;0;10;1;2;;0;0;14/01/2014;14;http://youdomain.com/img.jpg;First alt text;0;0;0;
1;;Color:color:0, Disk space:select:1;Purple:0, 16GB:1;RF-Nano-Purple-16GB;RP-Nano-Purple-16GB;80446406;8,35747E+11;;100;40;0;10;1;3;;0;0;15/01/2014;15;http://youdomain.com/img.jpg;First alt text;0;0;0;
1;;Color:color:0, Disk space:select:1;Purple:0, 8GB:1;RF-Nano-Purple-8GB;RP-Nano-Purple-8GB;80446407;8,2574E+11;;80;0;0;10;1;;;0;0;16/01/2014;16;http://youdomain.com/img.jpg;First alt text;0;0;0;
2;;Color:color:0;Metal:0;RF-Shuffle-Metal;RP-Shuffle-Metal;6,85387E+11;6,23893E+11;;40;0;0;12;1;0;;0;1;17/01/2014;1;http://youdomain.com/img.jpg;First alt text;0;0;0;
2;;Color:color:0;Blue:0;RF-Shuffle-Blue;RP-Shuffle-Blue;6,85387E+11;8,48279E+11;;40;0;0;12;1;1;;0;0;18/01/2014;2;http://youdomain.com/img.jpg;First alt text;0;0;0;
2;;Color:color:0;Pink:0;RF-Shuffle-Pink;RP-Shuffle-Pink;6,85387E+11;7,4514E+11;;40;0;0;12;1;2;;0;0;19/01/2014;3;http://youdomain.com/img.jpg;First alt text;0;0;0;
2;;Color:color:0;Green:0;RF-Shuffle-Green;RP-Shuffle-Green;6,85387E+11;1,80144E+11;;40;0;0;12;1;3;;0;0;20/01/2014;4;http://youdomain.com/img.jpg;First alt text;0;0;0;
3;;Color:color:0, Disk space:select:1, ICU:select:2;Metal:0, 80GB Parallel ATA Drive @ 4200 rpm:1, 1.60GHz Intel Core 2 Duo:2;RF-MacBookAir80GB-1.6MHz;RP-MacBookAir80GB-1.6MHz;1,23457E+11;9,59149E+11;;0;750;0;10;1;;;0;0;21/01/2014;1;http://youdomain.com/img.jpg;First alt text;0;0;0;
3;;Color:color:0, Disk space:select:1, ICU:select:2;Metal:0, 80GB Parallel ATA Drive @ 4200 rpm:1, 1.80GHz Intel Core 2 Duo:2;RF-MacBookAir80GB-1.6MHz;RP-MacBookAir80GB-1.6MHz;1,23457E+11;1,10179E+11;;0;0;0;10;1;0;;0;1;22/01/2014;2;http://youdomain.com/img.jpg;First alt text;0;0;0;
3;;Color:color:0, Disk space:select:1, ICU:select:2;Metal:0, Optional 64GB solid-state drive:1, 1.60GHz Intel Core 2 Duo:2;RF-MacBookAir64GB-1.8MHz;RP-MacBookAir64GB-1.8MHz;1,23457E+11;5,76787E+11;;0;225;0;10;1;1;;0;0;23/01/2014;3;http://youdomain.com/img.jpg;First alt text;0;0;0;
3;;Color:color:0, Disk space:select:1, ICU:select:2;Metal:0, Optional 64GB solid-state drive:1, 1.60GHz Intel Core 2 Duo:2;RF-MacBookAir64GB-1.8MHz;RP-MacBookAir64GB-1.8MHz;1,23457E+11;2,882E+11;;0;975;0;10;1;2;;0;0;24/01/2014;4;http://youdomain.com/img.jpg;First alt text;0;0;0;
5;;Disk space:select:1;8GB:0;RF-IpodTouch8GB;RP-IpodTouch8GB;8,45612E+12;6,26733E+11;;200;0;0;10;1;3;;0;1;25/01/2014;1;http://youdomain.com/img.jpg;First alt text;0;0;0;
5;;Disk space:select:1;16GB:0;RF-IpodTouch16GB;RP-IpodTouch16GB;8,45612E+12;6,04116E+11;;250;75;0;10;1;;;0;0;26/01/2014;2;http://youdomain.com/img.jpg;First alt text;0;0;0;
5;;Disk space:select:1;32GB:0;RF-IpodTouch32GB;RP-IpodTouch32GB;8,45612E+12;6,35894E+11;;300;150;0;10;1;0;;0;0;27/01/2014;3;http://youdomain.com/img.jpg;First alt text;0;0;0;
